clientId,country,product_id
3548,SP,10514
51432,BA,7975
86484,CE,17348
22237,SP,11797
52173,GO,26055
66750,SP,239
35433,SP,18537
989,MG,16803
33157,MG,3317
66067,SP,31788
11424,DF,19667
79493,MG,21039
73793,RJ,7139
27613,SP,24567
52030,SP,17474
45927,PA,25594
69214,SP,5197
34252,RJ,1555
8837,MS,11360
63805,BA,13118
18411,SP,12038
76665,RJ,16625
76665,RJ,16625
47237,SP,1527
47237,SP,1527
47237,SP,1527
47237,SP,1527
88130,RJ,26156
57584,MT,8314
6160,MG,16796
6160,MG,16796
85370,SP,27144
4394,PA,23524
1569,SP,5282
87606,MG,15848
50576,RS,7060
23518,SP,15867
36681,SP,31318
36681,SP,31318
36681,SP,31318
47137,SC,433
78613,SP,31023
61515,PA,6384
72029,GO,7749
56293,SP,30899
92329,RJ,31137
53235,SP,15690
51665,SP,4176
3296,RJ,6030
51546,SP,355
1925,RJ,6011
89887,RS,14256
78915,MT,10345
78915,MT,10345
92263,RS,14470
3802,SP,28553
94143,PR,22121
79921,DF,28042
81728,SP,16483
94278,SP,3953
32025,SP,16704
24630,MG,287
11280,SP,1032
24772,SP,16552
19714,SP,21166
5571,SP,6259
79344,SP,114
69966,SP,1961
80429,SP,10352
29082,SP,23818
51087,SP,16691
14226,RJ,31111
62368,GO,14307
58124,SP,3227
82453,SP,1869
31225,RJ,25679
93136,GO,2783
14187,RS,14993
76025,MG,28888
6069,PR,4193
67255,SP,28128
49202,RS,3771
90900,RJ,14461
24909,RS,21006
51418,RS,28406
37117,SP,4489
60776,SP,12359
90729,SP,11029
77913,DF,29330
78869,RJ,20822
87529,MG,11454
34635,SP,178
16162,SP,30770
375,SP,10385
22133,SP,15058
1913,ES,29895
1913,ES,29895
24882,MA,26692
24360,SP,14739
68647,RJ,31145
9318,PR,4623
47156,MG,30196
24090,SP,23735
70985,SP,25400
51322,SC,20483
11084,SP,9788
11084,SP,9788
12383,SP,1849
38589,SP,26730
32679,SC,22527
62253,RJ,8858
20199,MA,28985
49177,SP,10754
70443,SP,29673
87977,SP,29219
13117,SP,27886
82517,SP,22621
82517,SP,22621
2282,MG,6852
52321,GO,10869
32053,GO,860
32053,GO,860
91373,RJ,30360
24165,PB,11217
11427,MG,6729
69449,SC,2829
67101,AM,10252
435,MG,12183
74584,MS,26156
69671,SP,30846
41288,SP,29462
51256,RJ,31451
21063,DF,9090
47833,SP,29643
26274,SP,15111
61060,SP,1326
