,encoded_id,order_approved_at_month,product_id
310,311,1,945
311,312,8,16784
312,313,8,4869
313,314,6,7806
314,315,11,14987
315,316,11,16627
316,317,10,31094
317,318,2,25834
318,319,3,22765
319,320,8,28842
320,321,5,8611
321,322,12,24202
322,323,2,6064
323,324,3,17456
324,325,8,2877
325,326,10,17207
326,327,6,28754
327,328,5,14029
328,329,7,11029
329,330,2,2080
330,331,8,20330
331,332,8,4182
332,333,1,29183
333,334,12,29966
334,335,5,22480
335,336,5,18670
336,337,12,17058
337,338,3,3724
338,339,11,23563
339,340,5,29677
340,341,2,19843
341,342,4,21392
342,343,11,18093
343,344,7,12751
344,345,1,2814
345,346,10,4756
346,347,9,16161
347,348,12,10754
348,349,8,1452
349,350,8,24020
350,351,1,28234
351,352,8,21838
352,353,11,4480
353,354,3,29192
354,355,5,13831
355,356,5,26242
356,357,12,12484
357,358,11,11189
358,359,9,3329
359,360,8,10181
360,361,3,21277
361,362,3,19512
362,363,1,15107
363,364,2,17024
364,365,6,9761
365,366,5,10266
366,367,4,16152
367,368,1,24646
368,369,3,17947
369,370,7,21202
370,371,6,30703
371,372,6,4962
372,373,2,16241
373,374,11,5275
374,375,3,25124
375,376,1,4768
376,377,2,1274
377,378,6,18922
378,379,7,16360
379,380,4,28558
380,381,11,30166
381,382,7,28032
382,383,10,6565
383,384,4,28433
384,385,2,21591
385,386,7,22020
386,387,9,11668
387,388,12,3380
388,389,5,29181
389,390,8,29487
390,391,1,17311
391,392,6,28148
392,393,3,24856
393,394,6,5557
394,395,6,26935
395,396,3,31298
396,397,11,12183
397,398,5,20463
398,399,5,19099
399,400,5,7806
400,401,8,3148
401,402,6,18763
402,403,11,22220
403,404,4,21804
404,405,6,1229
405,406,6,31366
406,407,7,28901
407,408,10,24988
408,409,11,7682
409,410,8,20310
410,411,6,16273
411,412,5,30965
412,413,5,16926
413,414,2,5571
414,415,6,8414
415,416,2,10220
416,417,5,8286
417,418,2,5667
418,419,4,19403
419,420,3,1997
420,421,3,8
421,422,5,2682
422,423,4,2956
423,424,3,2029
424,425,12,2765
425,426,6,30139
426,427,1,22030
427,428,12,6817
428,429,8,7849
429,430,4,10398
430,431,6,4688
431,432,10,1505
432,433,8,23187
433,434,11,4551
434,435,6,843
435,436,6,22224
436,437,11,1464
437,438,9,1308
438,439,5,27905
439,440,6,25400
440,441,3,789
441,442,4,20594
442,443,6,27816
443,444,6,6163
444,445,5,13118
445,446,8,16260
446,447,2,7902
447,448,7,17263
448,449,8,12183
449,450,10,12674
450,451,4,18553
451,452,11,26000
452,453,11,20761
453,454,4,16343
454,455,7,15938
455,456,2,29179
456,457,11,27595
457,458,6,11096
458,459,3,15682
459,460,4,9962
460,461,5,10573
461,462,4,17475
462,463,12,927
463,464,2,27428
464,465,8,28018
465,466,7,16045
466,467,5,23048
467,468,9,20345
468,469,4,6961
469,470,3,25599
470,471,5,20846
471,472,8,14454
472,473,1,29714
473,474,8,7880
474,475,12,1464
475,476,1,19810
476,477,2,27557
477,478,2,16999
478,479,6,9056
479,480,8,7886
480,481,5,8837
481,482,4,24928
482,483,2,19374
483,484,12,30955
484,485,7,22355
485,486,3,9998
486,487,7,29921
487,488,9,30761
488,489,2,9666
489,490,1,7855
490,491,6,814
491,492,8,23569
492,493,7,1638
493,494,6,18037
494,495,4,17436
495,496,7,25492
496,497,3,18841
497,498,9,986
498,499,7,26242
499,500,8,5019
500,501,3,1318
501,502,6,2701
502,503,11,16625
503,504,5,31380
504,505,5,14376
505,506,1,23169
506,507,8,15945
507,508,4,15803
508,509,12,28925
509,510,7,29171
510,511,4,6677
511,512,2,19374
512,513,1,5084
513,514,3,8305
514,515,5,30474
515,516,6,20334
516,517,4,14059
517,518,6,27425
518,519,7,21042
519,520,2,16228
520,521,9,22080
521,522,3,21016
522,523,11,14712
523,524,7,25481
524,525,3,973
525,526,3,14173
526,527,1,31781
527,528,4,27819
528,529,9,30846
529,530,1,7949
530,531,4,10008
531,532,7,31266
532,533,1,29119
533,534,10,12676
534,535,5,5231
535,536,2,6764
536,537,7,18114
537,538,6,24520
538,539,6,8414
539,540,11,10424
540,541,3,11029
541,542,5,17145
542,543,7,10173
543,544,6,24435
544,545,3,28880
545,546,8,9772
546,547,10,4300
547,548,4,29972
548,549,9,1812
549,550,6,1713
550,551,8,21092
551,552,4,26281
552,553,8,26966
553,554,5,878
554,555,1,75
555,556,5,18868
556,557,4,1690
557,558,6,22690
558,559,6,8299
559,560,8,25426
560,561,7,10917
561,562,11,19630
562,563,6,24728
563,564,3,20400
564,565,9,7587
565,566,1,19327
566,567,2,12412
567,568,1,25260
568,569,6,31304
569,570,7,28411
570,571,4,19740
571,572,8,2623
572,573,7,16237
573,574,7,19896
574,575,8,3148
575,576,7,17561
576,577,2,22517
577,578,7,7097
578,579,11,17747
579,580,1,21392
580,581,8,17341
581,582,4,5473
582,583,11,20736
583,584,3,13494
584,585,1,8413
585,586,8,15078
586,587,3,29600
587,588,10,7194
588,589,1,11360
589,590,4,9191
590,591,2,20142
591,592,3,1689
592,593,5,25476
593,594,6,23881
594,595,12,1455
595,596,3,19891
596,597,7,5224
597,598,5,30545
598,599,9,24275
599,600,7,6793
600,601,3,13028
601,602,3,12121
602,603,3,10298
603,604,6,1977
604,605,6,14579
605,606,1,7855
606,607,4,25622
607,608,3,5456
608,609,12,28455
609,610,7,24050
610,611,7,2946
611,612,7,25766
612,613,8,23397
613,614,2,18537
614,615,10,25955
615,616,9,14005
616,617,8,651
617,618,1,6125
618,619,7,28523
619,620,10,5522
620,621,7,14820
621,622,1,21392
622,623,5,7806
623,624,12,23152
624,625,1,29373
625,626,3,3128
626,627,8,10375
627,628,9,7139
628,629,8,214
629,630,7,3159
630,631,8,655
631,632,11,10514
632,633,7,13953
633,634,12,22096
634,635,2,25570
635,636,8,19214
636,637,5,860
637,638,1,28468
638,639,4,27627
639,640,8,8299
640,641,7,16360
641,642,7,8346
642,643,6,19099
643,644,10,1910
644,645,6,25723
645,646,7,27303
646,647,8,26753
647,648,7,17603
648,649,2,10856
649,650,9,2694
650,651,9,29328
651,652,8,23273
652,653,8,16189
653,654,12,16386
654,655,8,28710
655,656,5,17736
656,657,3,9511
657,658,7,13270
658,659,1,13333
659,660,7,20884
660,661,5,3555
661,662,7,6605
662,663,4,14501
663,664,11,10856
664,665,3,9186
665,666,1,14328
666,667,8,19867
667,668,4,13903
668,669,1,7107
669,670,11,21746
670,671,8,25870
671,132,11,11402
672,673,3,19005
673,674,7,19418
674,675,8,21345
675,676,7,14532
676,677,11,11217
677,678,4,27185
678,679,7,30084
679,680,10,25707
680,681,6,29225
681,682,7,6752
682,683,7,12250
683,684,10,20400
684,685,12,17474
685,686,7,9723
686,687,3,6674
687,688,5,22781
688,689,5,20046
689,690,3,4417
690,691,3,846
691,692,7,28248
692,693,3,23836
693,694,8,15317
694,695,5,6060
695,696,3,28296
696,697,3,2175
697,698,4,17745
698,699,7,7575
699,700,3,30406
700,701,7,28492
701,702,10,10272
702,703,5,17009
703,704,6,12647
704,705,8,18760
705,706,8,14830
706,707,5,29969
707,708,5,20706
708,709,1,24002
709,710,1,19884
710,711,5,1032
711,712,4,8489
712,713,1,3376
713,714,11,4713
714,715,10,31282
715,716,6,7806
716,717,5,18221
717,718,12,30809
718,719,4,6824
719,720,12,6565
720,721,8,10060
721,722,5,2943
722,723,12,3227
723,724,6,2885
724,725,6,1273
725,726,8,23197
726,727,5,25850
727,728,1,11110
728,729,7,17850
729,730,1,8489
730,731,5,5009
731,732,1,18369
732,733,3,25766
733,734,12,11360
734,735,8,12
735,736,4,3159
736,737,11,29822
737,738,2,31783
738,739,6,959
739,740,10,9813
740,741,10,1326
741,742,8,26896
742,743,2,16152
743,744,10,11036
744,745,3,6063
745,746,5,29171
746,747,9,12072
747,748,3,19572
748,749,7,985
749,750,5,8299
750,751,12,14223
751,752,6,28491
752,753,5,7922
753,754,4,6309
754,755,12,19495
755,756,6,15271
756,757,1,7354
757,758,3,31844
758,759,8,19223
759,760,12,1272
760,761,11,31094
761,762,5,15098
762,763,5,2416
763,764,5,846
764,765,7,12241
765,766,8,19244
766,767,4,19673
767,768,3,24654
768,769,5,10120
769,770,2,36
770,771,3,11814
771,772,4,11713
772,773,11,6203
773,774,10,18000
774,775,5,15322
775,776,7,31662
776,777,7,10624
777,778,5,29918
778,779,2,14982
779,780,4,8082
780,781,6,22949
781,782,7,28135
782,783,11,22334
783,784,3,3436
784,785,9,28021
785,786,11,18439
786,787,5,30892
787,788,4,26217
788,789,1,21478
789,790,7,11343
790,791,4,20776
791,792,5,2203
792,793,5,22469
793,794,3,2862
794,795,11,27712
795,796,5,31099
796,797,5,24617
797,798,1,14500
798,799,10,22230
799,800,8,5969
800,801,1,6913
801,802,9,6496
802,803,6,970
803,804,5,7806
804,805,1,2638
805,806,3,12984
806,807,2,12642
807,808,9,1554
808,809,3,5275
809,810,2,20112
810,811,4,3451
811,812,11,28481
812,813,3,12963
813,814,2,18244
814,815,5,29090
815,816,6,18996
816,817,9,9979
817,818,2,9314
818,819,4,8978
819,820,8,17572
820,821,6,27399
821,822,5,10047
822,823,7,17845
823,824,8,28447
824,825,6,12616
825,826,4,26721
826,827,4,426
827,828,6,19469
828,829,7,14095
829,830,10,10621
830,831,5,23229
831,832,5,24303
832,833,6,15598
833,834,8,1134
834,835,5,3054
835,836,4,20617
836,837,7,19099
837,838,2,16171
838,839,3,20248
839,840,3,29485
840,841,5,5659
841,842,8,29049
842,843,12,18085
843,844,3,19999
844,845,8,24798
845,846,12,1277
846,847,11,2208
847,848,5,27935
848,849,2,21392
849,850,5,12012
850,851,4,26721
851,852,4,20706
852,853,8,15976
853,854,10,20452
854,855,12,18912
855,856,2,28806
856,857,1,16836
857,858,5,23913
858,859,1,2964
859,860,6,16975
860,861,8,24098
861,862,4,16377
862,863,4,27562
863,864,8,20462
864,865,2,30272
865,866,8,594
866,867,2,15316
867,868,5,10514
868,869,2,28932
869,870,8,26226
870,871,11,21933
871,872,6,2264
872,873,6,19340
873,874,5,3181
874,875,8,17059
875,876,1,8274
876,877,7,9447
877,878,2,15700
878,879,1,10398
879,880,8,28634
880,881,7,2241
881,882,6,27229
882,883,9,4480
883,884,6,7707
884,885,5,4885
885,886,8,28293
886,887,6,19704
887,888,4,1449
888,889,2,22874
889,890,7,17481
890,891,4,9445
891,892,2,16931
892,893,6,10150
893,894,12,4148
894,895,3,29204
895,896,6,11623
896,897,12,17475
897,898,9,11947
898,899,11,9833
899,900,4,31857
900,901,11,10697
901,902,2,1627
902,903,4,21890
903,904,4,20635
904,905,3,7806
905,906,11,14634
906,907,2,13758
907,908,5,24993
908,909,8,17338
909,910,3,25477
910,911,10,13768
911,912,3,26136
912,913,4,30292
913,914,10,28632
914,915,5,31698
915,916,6,30760
916,917,11,15264
917,918,3,26156
918,919,7,18544
919,920,1,6988
920,921,3,28722
921,922,5,2227
922,923,3,7346
923,924,7,20511
924,925,1,10719
925,926,2,8366
926,927,7,24937
927,928,6,14786
928,929,8,11379
929,930,3,14059
930,931,1,20806
931,932,11,13954
932,933,7,10070
933,934,6,29938
934,935,12,1933
935,936,6,19099
936,937,9,7139
937,938,12,5281
938,939,5,5930
939,940,4,14776
940,941,12,10560
941,942,8,7481
942,943,5,13220
943,944,8,6051
944,945,6,19628
945,946,5,31836
946,947,3,28135
947,948,3,28783
948,949,9,28971
949,950,4,12334
950,951,8,18214
951,952,4,11217
952,953,7,28329
953,954,1,9183
954,955,4,25978
955,956,2,27900
956,957,2,9410
957,958,11,11613
958,959,8,28330
959,960,12,16371
960,961,6,4268
961,962,8,23073
962,963,6,1735
963,964,1,25133
964,965,6,4074
965,966,8,4898
966,967,12,19872
967,968,3,13614
968,969,2,19650
969,970,3,13617
970,971,5,23724
971,972,6,12976
972,973,12,1604
973,974,7,56
974,975,2,29073
975,976,6,3304
976,977,8,23296
977,978,4,10453
978,979,4,20617
979,980,11,700
980,981,4,5186
981,982,4,23691
982,983,7,2227
983,984,5,8414
984,985,5,18160
985,986,6,2284
986,987,8,188
987,988,7,30215
988,989,11,21870
989,990,5,3862
990,991,6,15713
991,992,3,25967
992,993,6,26382
993,994,8,2362
994,995,1,2862
995,996,3,9683
996,997,3,2066
997,998,2,19267
998,999,3,14916
999,1000,4,11360
